"U:0","U:1","U:2","p","total(p)","Points:0","Points:1","Points:2"
1.0286,0.0017277,1.4268e-22,3.5925,4.9458,0.6,-0.1692,0
1.0289,0.0017505,1.2083e-22,3.5886,4.9415,0.6,-0.1688,0
1.0292,0.0017733,9.8984e-23,3.5847,4.9372,0.6,-0.1684,0
1.0296,0.0017961,7.7134e-23,3.5807,4.9329,0.6,-0.168,0
1.0299,0.0018189,5.5286e-23,3.5768,4.9286,0.6,-0.1676,0
1.0302,0.0018417,3.3436e-23,3.5729,4.9243,0.6,-0.1672,0
1.0306,0.0018645,1.1587e-23,3.569,4.92,0.6,-0.1668,0
1.0308,0.0018872,-1.0335e-23,3.565,4.9156,0.6,-0.1664,0
1.0311,0.0019098,-3.2294e-23,3.5611,4.9112,0.6,-0.166,0
1.0313,0.0019324,-5.4254e-23,3.5572,4.9068,0.6,-0.1656,0
1.0315,0.0019551,-7.6213e-23,3.5533,4.9023,0.6,-0.1652,0
1.0317,0.0019777,-9.8172e-23,3.5494,4.8979,0.6,-0.1648,0
1.0319,0.0020003,-1.2013e-22,3.5454,4.8934,0.6,-0.1644,0
1.0322,0.0020229,-1.4209e-22,3.5415,4.889,0.6,-0.164,0
1.0324,0.0020455,-1.6405e-22,3.5376,4.8846,0.6,-0.1636,0
1.0326,0.0020682,-1.6443e-22,3.5337,4.8801,0.6,-0.1632,0
1.0327,0.0020912,-1.2149e-22,3.5297,4.8756,0.6,-0.1628,0
1.0328,0.0021141,-7.8554e-23,3.5258,4.871,0.6,-0.1624,0
1.033,0.002137,-3.5615e-23,3.5219,4.8665,0.6,-0.162,0
1.0331,0.00216,7.3228e-24,3.518,4.862,0.6,-0.1616,0
1.0333,0.0021829,5.0262e-23,3.514,4.8574,0.6,-0.1612,0
1.0334,0.0022058,9.3201e-23,3.5101,4.8529,0.6,-0.1608,0
1.0335,0.0022288,1.3614e-22,3.5062,4.8483,0.6,-0.1604,0
1.0337,0.0022517,1.7908e-22,3.5023,4.8438,0.6,-0.16,0
1.0338,0.0022751,1.5803e-22,3.4983,4.8392,0.6,-0.1596,0
1.0338,0.0022985,1.3699e-22,3.4944,4.8346,0.6,-0.1592,0
1.0339,0.0023219,1.1594e-22,3.4905,4.83,0.6,-0.1588,0
1.034,0.0023453,9.4896e-23,3.4866,4.8254,0.6,-0.1584,0
1.0341,0.0023687,7.3851e-23,3.4826,4.8208,0.6,-0.158,0
1.0342,0.0023921,5.2805e-23,3.4787,4.8161,0.6,-0.1576,0
1.0342,0.0024155,3.176e-23,3.4748,4.8115,0.6,-0.1572,0
1.0343,0.0024389,1.0714e-23,3.4708,4.8069,0.6,-0.1568,0
1.0344,0.0024628,-1.036e-23,3.4669,4.8023,0.6,-0.1564,0
1.0344,0.0024869,-3.1447e-23,3.463,4.7976,0.6,-0.156,0
1.0345,0.0025111,-5.2535e-23,3.4591,4.7929,0.6,-0.1556,0
1.0345,0.0025352,-7.3622e-23,3.4551,4.7883,0.6,-0.1552,0
1.0345,0.0025593,-9.471e-23,3.4512,4.7836,0.6,-0.1548,0
1.0346,0.0025834,-1.158e-22,3.4473,4.779,0.6,-0.1544,0
1.0346,0.0026076,-1.3689e-22,3.4434,4.7743,0.6,-0.154,0
1.0346,0.0026317,-1.5797e-22,3.4394,4.7696,0.6,-0.1536,0
1.0347,0.0026561,-1.5827e-22,3.4355,4.765,0.6,-0.1532,0
1.0347,0.0026811,-1.1684e-22,3.4316,4.7602,0.6,-0.1528,0
1.0347,0.002706,-7.5411e-23,3.4277,4.7555,0.6,-0.1524,0
