"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.84846,0.010484,-2.3878e-22,0.14,2.5482,3.4899,0.6,-0.06,0
0.83604,0.011391,-2.8448e-22,0.142,2.5286,3.4539,0.6,-0.058,0
0.82387,0.012251,-2.4936e-22,0.144,2.509,3.4182,0.6,-0.056,0
0.81216,0.013024,-6.5429e-23,0.146,2.4894,3.3832,0.6,-0.054,0
0.80111,0.013682,-4.1766e-24,0.148,2.4697,3.349,0.6,-0.052,0
0.79039,0.014283,-1.8699e-24,0.15,2.4501,3.3151,0.6,-0.05,0
0.78075,0.014704,-1.4277e-22,0.152,2.4304,3.2825,0.6,-0.048,0
0.77149,0.015062,-2.1845e-22,0.154,2.4108,3.2503,0.6,-0.046,0
0.76296,0.015304,-1.7453e-22,0.156,2.3911,3.2188,0.6,-0.044,0
0.75515,0.015436,-1.42e-22,0.158,2.3715,3.1881,0.6,-0.042,0
0.74768,0.015516,-1.1421e-22,0.16,2.3518,3.1577,0.6,-0.04,0
0.7411,0.015469,-6.7138e-23,0.162,2.3321,3.1283,0.6,-0.038,0
0.73478,0.015388,-2.719e-23,0.164,2.3124,3.099,0.6,-0.036,0
0.72895,0.015247,-9.1782e-26,0.166,2.2928,3.0703,0.6,-0.034,0
0.72353,0.015065,6.7664e-23,0.168,2.2731,3.042,0.6,-0.032,0
0.71829,0.014865,1.5164e-22,0.17,2.2534,3.0138,0.6,-0.03,0
0.71345,0.014641,1.507e-22,0.172,2.2337,2.986,0.6,-0.028,0
0.70871,0.014418,1.1977e-22,0.174,2.2141,2.9584,0.6,-0.026,0
0.70414,0.014198,3.3912e-23,0.176,2.1944,2.9309,0.6,-0.024,0
0.69966,0.013996,1.0479e-24,0.178,2.1747,2.9035,0.6,-0.022,0
0.69524,0.013802,-7.5098e-24,0.18,2.155,2.8762,0.6,-0.02,0
0.69086,0.013652,-1.2895e-23,0.182,2.1354,2.8489,0.6,-0.018,0
0.68648,0.013521,1.2803e-23,0.184,2.1157,2.8217,0.6,-0.016,0
0.68209,0.013427,9.7198e-23,0.186,2.096,2.7945,0.6,-0.014,0
0.67766,0.013376,1.8121e-22,0.188,2.0763,2.7673,0.6,-0.012,0
0.67322,0.013347,2.6364e-22,0.19,2.0567,2.74,0.6,-0.01,0
0.66871,0.013387,1.8829e-22,0.192,2.037,2.7128,0.6,-0.008,0
0.66418,0.01345,8.6164e-23,0.194,2.0173,2.6856,0.6,-0.006,0
0.65962,0.013561,-6.8422e-23,0.196,1.9976,2.6584,0.6,-0.004,0
0.65503,0.013718,-1.729e-22,0.198,1.978,2.6311,0.6,-0.002,0
0.65044,0.013899,-2.5268e-22,0.2,1.9583,2.6039,0.6,0,0
