"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.82689,0.0091226,-2.8776e-22,0.142,2.5272,3.4431,0.6,-0.058,0
0.81517,0.0099587,-2.522e-22,0.144,2.5076,3.408,0.6,-0.056,0
0.804,0.010696,-6.6236e-23,0.146,2.488,3.3736,0.6,-0.054,0
0.79353,0.011309,-4.2358e-24,0.148,2.4684,3.34,0.6,-0.052,0
0.78342,0.011861,-1.8041e-24,0.15,2.4487,3.3068,0.6,-0.05,0
0.7744,0.012229,-1.4414e-22,0.152,2.4291,3.2748,0.6,-0.048,0
0.76577,0.012535,-2.2057e-22,0.154,2.4094,3.2433,0.6,-0.046,0
0.75785,0.012727,-1.7618e-22,0.156,2.3897,3.2124,0.6,-0.044,0
0.75061,0.012815,-1.4333e-22,0.158,2.3701,3.1823,0.6,-0.042,0
0.7437,0.012854,-1.1525e-22,0.16,2.3504,3.1525,0.6,-0.04,0
0.73763,0.012778,-6.7736e-23,0.162,2.3307,3.1234,0.6,-0.038,0
0.73181,0.012673,-2.7427e-23,0.164,2.311,3.0947,0.6,-0.036,0
0.72643,0.012517,-1.2986e-25,0.166,2.2914,3.0664,0.6,-0.034,0
0.72141,0.01233,6.8252e-23,0.168,2.2717,3.0384,0.6,-0.032,0
0.71656,0.012129,1.5303e-22,0.17,2.252,3.0106,0.6,-0.03,0
0.71207,0.011916,1.521e-22,0.172,2.2323,2.9831,0.6,-0.028,0
0.70765,0.011708,1.209e-22,0.174,2.2126,2.9557,0.6,-0.026,0
0.70337,0.011509,3.4204e-23,0.176,2.193,2.9285,0.6,-0.024,0
0.69916,0.011335,1.0313e-24,0.178,2.1733,2.9013,0.6,-0.022,0
0.69498,0.011172,-7.5957e-24,0.18,2.1536,2.8742,0.6,-0.02,0
0.69082,0.01106,-1.3046e-23,0.182,2.134,2.8472,0.6,-0.018,0
0.68664,0.010969,1.2986e-23,0.184,2.1143,2.8201,0.6,-0.016,0
0.68242,0.010918,9.847e-23,0.186,2.0946,2.793,0.6,-0.014,0
0.67814,0.010915,1.8361e-22,0.188,2.0749,2.7659,0.6,-0.012,0
0.67384,0.010935,2.6718e-22,0.19,2.0553,2.7388,0.6,-0.01,0
0.66943,0.011028,1.9086e-22,0.192,2.0356,2.7117,0.6,-0.008,0
0.665,0.011147,8.7311e-23,0.194,2.0159,2.6845,0.6,-0.006,0
0.66051,0.011316,-6.9566e-23,0.196,1.9963,2.6574,0.6,-0.004,0
