"p","U:0","U:1","U:2","Co","k","nut","omega","total(p)","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.132,0.99859,-0.0036116,-3.8534e-24,0.75183,0.00059992,0.00012828,4.6774,4.3568,0,0,0,0,1,0.08,0.6,-0.12,0
3.1125,0.99808,-0.0036474,7.8013e-23,0.75147,0.00059999,0.00012583,4.7708,4.3327,0,0,0,0,1,0.082,0.6,-0.118,0
3.093,0.99752,-0.0036837,1.7485e-22,0.75109,0.00059969,0.00012305,4.8774,4.3086,0,0,0,0,1,0.084,0.6,-0.116,0
3.0735,0.9969,-0.003721,2.9979e-22,0.75069,0.0005987,0.00011963,5.0094,4.2845,0,0,0,0,1,0.086,0.6,-0.114,0
3.0539,0.99619,-0.0037581,2.861e-22,0.75019,0.00059678,0.00011553,5.1751,4.2602,0,0,0,0,1,0.088,0.6,-0.112,0
3.0344,0.99543,-0.0037948,2.0497e-22,0.74965,0.00059438,0.00011109,5.3575,4.2358,0,0,0,0,1,0.09,0.6,-0.11,0
3.0149,0.99451,-0.0038279,-1.9999e-23,0.74895,0.00059026,0.0001057,5.6022,4.2113,0,0,0,0,1,0.092,0.6,-0.108,0
2.9954,0.99351,-0.0038574,-1.661e-22,0.74819,0.00058542,0.00010003,5.8743,4.1867,0,0,0,0,1,0.094,0.6,-0.106,0
2.9759,0.99237,-0.0038803,-1.6357e-22,0.74732,0.00057921,9.3843e-05,6.1984,4.162,0,0,0,0,1,0.096,0.6,-0.104,0
2.9564,0.99103,-0.0038897,-9.1829e-23,0.7463,0.0005714,8.7307e-05,6.5888,4.137,0,0,0,0,1,0.098,0.6,-0.102,0
2.9369,0.98959,-0.0038922,1.1044e-23,0.74521,0.0005628,8.0605e-05,7.012,4.1119,0,0,0,0,1,0.1,0.6,-0.1,0
2.9174,0.98776,-0.0038603,8.6848e-24,0.74381,0.00055182,7.3767e-05,7.5499,4.0863,0,0,0,0,1,0.102,0.6,-0.098,0
2.8979,0.98574,-0.0038089,5.6515e-24,0.74227,0.00054014,6.7026e-05,8.1329,4.0605,0,0,0,0,1,0.104,0.6,-0.096,0
2.8784,0.98337,-0.0037209,1.3886e-24,0.74042,0.00052711,6.0471e-05,8.801,4.0343,0,0,0,0,1,0.106,0.6,-0.094,0
2.859,0.9805,-0.003576,-2.3782e-24,0.73816,0.00051335,5.4373e-05,9.5605,4.0076,0,0,0,0,1,0.108,0.6,-0.092,0
2.8395,0.97739,-0.0034027,-5.9107e-24,0.73569,0.00049925,4.8504e-05,10.365,3.9806,0,0,0,0,1,0.11,0.6,-0.09,0
2.82,0.97332,-0.0031166,-6.001e-24,0.73241,0.00048569,4.3574e-05,11.288,3.9524,0,0,0,0,1,0.112,0.6,-0.088,0
2.8005,0.96882,-0.0027812,-4.8174e-24,0.72879,0.00047301,3.9024e-05,12.241,3.9238,0,0,0,0,1,0.114,0.6,-0.086,0
2.781,0.96352,-0.0023533,-1.179e-24,0.72449,0.00046199,3.5183e-05,13.25,3.8943,0,0,0,0,1,0.116,0.6,-0.084,0
2.7616,0.95722,-0.0018181,0,0.71943,0.00045389,3.207e-05,14.279,3.8637,0,0,0,0,1,0.118,0.6,-0.082,0
2.7421,0.95043,-0.0012304,0,0.71401,0.00044722,2.9309e-05,15.317,3.8325,0,0,0,0,1,0.12,0.6,-0.08,0
2.7226,0.94206,-0.00049065,0,0.70761,0.00044523,2.7448e-05,16.311,3.7997,0,0,0,0,1,0.122,0.6,-0.078,0
2.7031,0.93315,0.00029627,6.513e-25,0.70094,0.00044443,2.5825e-05,17.262,3.7663,0,0,0,0,1,0.124,0.6,-0.076,0
2.6836,0.92321,0.0011709,2.5502e-24,0.69375,0.00044586,2.4644e-05,18.134,3.7318,0,0,0,0,1,0.126,0.6,-0.074,0
2.6641,0.91237,0.0021157,3.1837e-24,0.68613,0.00044769,2.3759e-05,18.874,3.6965,0,0,0,0,1,0.128,0.6,-0.072,0
2.6446,0.9011,0.0030941,3.9815e-24,0.6783,0.00044966,2.3013e-05,19.55,3.6608,0,0,0,0,1,0.13,0.6,-0.07,0
2.6251,0.88892,0.004133,4.9203e-23,0.66992,0.00044899,2.2476e-05,19.99,3.6243,0,0,0,0,1,0.132,0.6,-0.068,0
2.6055,0.87659,0.005175,6.0645e-23,0.66143,0.00044655,2.1959e-05,20.341,3.5878,0,0,0,0,1,0.134,0.6,-0.066,0
2.586,0.86398,0.0062229,9.6612e-24,0.65273,0.00044083,2.148e-05,20.526,3.5512,0,0,0,0,1,0.136,0.6,-0.064,0
2.5664,0.85143,0.0072366,-1.0275e-22,0.64407,0.00043127,2.0985e-05,20.55,3.5148,0,0,0,0,1,0.138,0.6,-0.062,0
2.5468,0.83891,0.0082326,-2.4164e-22,0.63543,0.00041986,2.0482e-05,20.496,3.4785,0,0,0,0,1,0.14,0.6,-0.06,0
2.5272,0.82689,0.0091226,-2.8776e-22,0.62707,0.00040412,1.9941e-05,20.256,3.4431,0,0,0,0,1,0.142,0.6,-0.058,0
2.5076,0.81517,0.0099587,-2.522e-22,0.6189,0.00038761,1.9396e-05,19.972,3.408,0,0,0,0,1,0.144,0.6,-0.056,0
2.488,0.804,0.010696,-6.6236e-23,0.61105,0.00036966,1.8841e-05,19.607,3.3736,0,0,0,0,1,0.146,0.6,-0.054,0
2.4684,0.79353,0.011309,-4.2358e-24,0.60366,0.00035175,1.8305e-05,19.199,3.34,0,0,0,0,1,0.148,0.6,-0.052,0
2.4487,0.78342,0.011861,-1.8041e-24,0.5965,0.00033389,1.7778e-05,18.772,3.3068,0,0,0,0,1,0.15,0.6,-0.05,0
2.4291,0.7744,0.012229,-1.4414e-22,0.59003,0.00031776,1.7316e-05,18.335,3.2748,0,0,0,0,1,0.152,0.6,-0.048,0
2.4094,0.76577,0.012535,-2.2057e-22,0.58379,0.00030259,1.6886e-05,17.908,3.2433,0,0,0,0,1,0.154,0.6,-0.046,0
