"p","U:0","U:1","U:2","Co","k","nut","omega","total(p)","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.40831,1.0038,-0.0071361,-2.9678e-23,0.75826,0.00088274,0.00018148,4.8715,1.0946,0,0,0,0,1,0.358,0.6,0.158,0
0.38875,1.0041,-0.0072924,-4.193e-23,0.75856,0.00090905,0.00019099,4.7639,1.0714,0,0,0,0,1,0.36,0.6,0.16,0
0.36919,1.0042,-0.0074211,-2.8982e-23,0.75874,0.00096081,0.0002059,4.6752,1.0481,0,0,0,0,1,0.362,0.6,0.162,0
0.34963,1.0042,-0.0075417,-1.6236e-23,0.75889,0.0010226,0.00022299,4.5934,1.0247,0,0,0,0,1,0.364,0.6,0.164,0
0.33008,1.0042,-0.0076462,-4.4088e-24,0.75895,0.0011049,0.00024453,4.5255,1.0012,0,0,0,0,1,0.366,0.6,0.166,0
0.31052,1.0041,-0.0077376,-2.8705e-25,0.75896,0.0012064,0.00027023,4.471,0.97763,0,0,0,0,1,0.368,0.6,0.168,0
0.29097,1.004,-0.0078221,-1.8483e-25,0.75893,0.0013178,0.0002981,4.4235,0.95404,0,0,0,0,1,0.37,0.6,0.17,0
0.27142,1.0039,-0.0078904,-7.1834e-24,0.75882,0.0014523,0.00033088,4.3933,0.93038,0,0,0,0,1,0.372,0.6,0.172,0
0.25187,1.0037,-0.0079542,-1e-23,0.75871,0.0015922,0.00036474,4.3674,0.9067,0,0,0,0,1,0.374,0.6,0.174,0
0.23232,1.0035,-0.008009,-4.015e-24,0.75859,0.0017426,0.00040072,4.3503,0.88299,0,0,0,0,1,0.376,0.6,0.176,0
0.21278,1.0032,-0.0080568,2.8447e-24,0.75848,0.0018991,0.00043775,4.3392,0.85927,0,0,0,0,1,0.378,0.6,0.178,0
0.19323,1.003,-0.008101,1.0145e-23,0.75837,0.0020586,0.00047531,4.3313,0.83553,0,0,0,0,1,0.38,0.6,0.18,0
0.17369,1.0027,-0.0081374,1.3826e-25,0.75821,0.002222,0.00051315,4.3301,0.81177,0,0,0,0,1,0.382,0.6,0.182,0
0.15415,1.0025,-0.0081703,-6.6648e-24,0.75803,0.0023854,0.00055077,4.3308,0.78801,0,0,0,0,1,0.384,0.6,0.184,0
0.13461,1.0022,-0.0081965,-6.7098e-24,0.75782,0.0025489,0.00058792,4.3351,0.76424,0,0,0,0,1,0.386,0.6,0.186,0
0.11506,1.002,-0.0082208,-4.0548e-24,0.75762,0.0027106,0.00062405,4.3428,0.74047,0,0,0,0,1,0.388,0.6,0.188,0
0.095519,1.0017,-0.0082441,-3.0898e-26,0.75742,0.0028713,0.00065967,4.3522,0.7167,0,0,0,0,1,0.39,0.6,0.19,0
0.075939,1.0014,-0.0083711,1.2128e-24,0.75726,0.0030272,0.00069306,4.3669,0.6929,0,0,0,0,1,0.392,0.6,0.192,0
0.056463,1.0012,-0.0084404,2.0389e-24,0.75711,0.0031843,0.00070735,4.3841,0.66922,0,0,0,0,1,0.394,0.6,0.194,0
0.037198,1.0009,-0.008393,2.0412e-24,0.75695,0.0033437,0.00068314,4.4063,0.64578,0,0,0,0,1,0.396,0.6,0.196,0
0.018466,1.0005,-0.0050284,1.2263e-24,0.75685,0.0035381,0.00053327,4.4227,0.62278,0,0,0,0,1,0.398,0.6,0.198,0
0,1,0,0,0.75676,0.00375,0.00032037,4.4362,0.6,0,0,0,0,1,0.4,0.6,0.2,0
