"U:0","U:1","U:2","arc_length","p","total(p)","Points:0","Points:1","Points:2"
0.85626,0.020892,-2.2634e-22,0.144,2.507,3.4486,0.6,-0.056,0
0.84322,0.021759,-5.9344e-23,0.146,2.4873,3.4118,0.6,-0.054,0
0.83069,0.022525,-3.8126e-24,0.148,2.4677,3.3757,0.6,-0.052,0
0.81841,0.023241,-1.8398e-24,0.15,2.4481,3.3399,0.6,-0.05,0
0.8071,0.023784,-1.2993e-22,0.152,2.4284,3.3054,0.6,-0.048,0
0.79619,0.024262,-1.9875e-22,0.154,2.4088,3.2713,0.6,-0.046,0
0.78602,0.024617,-1.5887e-22,0.156,2.3891,3.2381,0.6,-0.044,0
0.77664,0.024845,-1.2933e-22,0.158,2.3695,3.2057,0.6,-0.042,0
0.76765,0.025011,-1.0406e-22,0.16,2.3498,3.1737,0.6,-0.04,0
0.75973,0.02501,-6.1206e-23,0.162,2.3301,3.1429,0.6,-0.038,0
0.75217,0.024959,-2.4804e-23,0.164,2.3104,3.1124,0.6,-0.036,0
0.74523,0.024816,-5.0061e-26,0.166,2.2908,3.0826,0.6,-0.034,0
0.73887,0.024596,6.1826e-23,0.168,2.2711,3.0533,0.6,-0.032,0
0.73277,0.02434,1.3851e-22,0.17,2.2515,3.0243,0.6,-0.03,0
0.72729,0.02401,1.3764e-22,0.172,2.2318,2.9959,0.6,-0.028,0
0.72197,0.023666,1.094e-22,0.174,2.2121,2.9677,0.6,-0.026,0
0.71694,0.023296,3.101e-23,0.176,2.1925,2.9397,0.6,-0.024,0
0.71212,0.022918,9.8653e-25,0.178,2.1728,2.912,0.6,-0.022,0
0.70739,0.022537,-6.8553e-24,0.18,2.1531,2.8843,0.6,-0.02,0
0.70282,0.022173,-1.177e-23,0.182,2.1335,2.8569,0.6,-0.018,0
0.69827,0.021821,1.167e-23,0.184,2.1138,2.8295,0.6,-0.016,0
0.69377,0.021494,8.8656e-23,0.186,2.0942,2.8021,0.6,-0.014,0
0.68926,0.021203,1.6526e-22,0.188,2.0745,2.7748,0.6,-0.012,0
0.68475,0.020929,2.4043e-22,0.19,2.0549,2.7474,0.6,-0.01,0
0.6802,0.020719,1.7169e-22,0.192,2.0352,2.7201,0.6,-0.008,0
0.67562,0.020534,7.8591e-23,0.194,2.0155,2.6928,0.6,-0.006,0
0.67102,0.020395,-6.2234e-23,0.196,1.9959,2.6655,0.6,-0.004,0
0.66638,0.020306,-1.5734e-22,0.198,1.9762,2.6382,0.6,-0.002,0
0.66173,0.020242,-2.2992e-22,0.2,1.9566,2.6109,0.6,0,0
0.65708,0.02025,-1.9939e-22,0.202,1.9369,2.5836,0.6,0.002,0
0.65243,0.020282,-1.7859e-22,0.204,1.9173,2.5564,0.6,0.004,0
0.64781,0.02036,-1.776e-22,0.206,1.8976,2.5292,0.6,0.006,0
0.64327,0.02048,-1.5172e-22,0.208,1.878,2.5021,0.6,0.008,0
0.63876,0.02062,-1.1311e-22,0.21,1.8583,2.4751,0.6,0.01,0
0.63442,0.020813,-4.3866e-23,0.212,1.8387,2.4482,0.6,0.012,0
0.63018,0.021018,-1.7205e-23,0.214,1.819,2.4214,0.6,0.014,0
0.62611,0.021251,-8.0438e-23,0.216,1.7994,2.3947,0.6,0.016,0
0.62228,0.0215,-1.0361e-22,0.218,1.7797,2.3683,0.6,0.018,0
0.61856,0.021758,-1.0552e-22,0.22,1.7601,2.342,0.6,0.02,0
0.61528,0.022027,1.7146e-23,0.222,1.7405,2.316,0.6,0.022,0
0.61217,0.022295,1.2018e-22,0.224,1.7208,2.2901,0.6,0.024,0
0.60941,0.02256,1.7622e-22,0.226,1.7012,2.2646,0.6,0.026,0
0.60704,0.022815,1.5682e-22,0.228,1.6816,2.2393,0.6,0.028,0
0.60487,0.023064,9.606e-23,0.23,1.6619,2.2142,0.6,0.03,0
0.60335,0.023286,4.0052e-23,0.232,1.6423,2.1896,0.6,0.032,0
0.60206,0.023495,5.5011e-24,0.234,1.6227,2.1651,0.6,0.034,0
0.60127,0.023678,1.8741e-23,0.236,1.6031,2.141,0.6,0.036,0
0.60097,0.023831,4.1902e-23,0.238,1.5835,2.1173,0.6,0.038,0
0.60094,0.023967,7.0589e-23,0.24,1.5639,2.0938,0.6,0.04,0
0.60171,0.024051,3.3961e-23,0.242,1.5444,2.0708,0.6,0.042,0
0.60277,0.024115,1.5013e-23,0.244,1.5248,2.0481,0.6,0.044,0
0.60442,0.024137,3.8015e-23,0.246,1.5052,2.0258,0.6,0.046,0
0.60667,0.024115,2.916e-23,0.248,1.4857,2.004,0.6,0.048,0
0.60923,0.02407,2.949e-24,0.25,1.4661,1.9824,0.6,0.05,0
0.61275,0.023954,1.8312e-24,0.252,1.4466,1.9616,0.6,0.052,0
0.6166,0.023812,3.2107e-23,0.254,1.4271,1.941,0.6,0.054,0
0.62115,0.023619,1.2988e-22,0.256,1.4076,1.9209,0.6,0.056,0
0.62639,0.023376,1.4737e-22,0.258,1.388,1.9014,0.6,0.058,0
